ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;*;*;*;*;*;*;*;*;<=50K
1;*;*;*;*;*;*;*;*;<=50K
2;*;*;*;*;*;*;*;*;<=50K
3;*;*;*;*;*;*;*;*;<=50K
4;*;*;*;*;*;*;*;*;<=50K
5;*;*;*;*;*;*;*;*;<=50K
6;*;*;*;*;*;*;*;*;<=50K
7;*;*;*;*;*;*;Non-Government;*;>50K
8;*;*;*;*;*;*;*;*;>50K
9;*;*;*;*;*;*;*;*;>50K
10;*;*;*;*;*;*;*;*;>50K
11;*;*;*;*;*;*;*;*;>50K
12;*;*;*;*;*;*;*;*;<=50K
13;*;*;*;*;*;*;*;*;<=50K
14;*;*;*;*;*;*;*;*;<=50K
15;*;*;*;*;*;*;*;*;<=50K
16;Male;*;*;*;*;*;*;*;<=50K
17;Male;*;White;*;*;*;Non-Government;*;<=50K
18;*;*;*;*;*;*;*;*;>50K
19;*;*;*;*;*;*;*;*;>50K
20;*;*;*;*;*;*;*;*;<=50K
21;*;*;*;*;*;*;*;*;<=50K
22;Male;*;White;*;*;*;Non-Government;*;<=50K
23;*;*;*;*;*;*;*;*;<=50K
24;*;*;*;*;*;*;*;*;>50K
25;Male;*;*;spouse not present;*;*;*;*;<=50K
26;*;*;*;*;*;*;*;*;<=50K
27;*;*;*;*;*;North America;*;*;<=50K
28;*;*;*;*;*;*;*;*;<=50K
29;*;*;*;*;*;*;*;*;<=50K
30;*;*;*;*;*;*;*;*;<=50K
31;*;*;*;*;*;*;*;*;<=50K
32;*;*;*;*;*;*;*;*;<=50K
33;Male;*;*;*;*;*;*;*;<=50K
34;*;*;*;*;*;*;*;*;<=50K
35;*;*;*;*;*;*;*;*;<=50K
36;*;*;*;*;*;*;*;*;<=50K
37;*;*;*;*;*;North America;*;*;<=50K
38;*;*;*;*;*;*;*;*;<=50K
39;*;*;*;*;*;*;*;*;<=50K
40;*;*;*;*;*;*;*;*;<=50K
41;*;*;*;*;*;*;*;*;<=50K
42;*;*;*;*;*;*;*;*;>50K
43;Male;*;White;*;*;*;Non-Government;*;<=50K
44;*;*;*;*;*;*;*;*;<=50K
45;*;*;*;*;*;*;*;*;<=50K
46;*;*;*;*;*;*;*;*;<=50K
47;*;*;*;*;*;*;*;*;<=50K
48;*;*;*;*;*;*;*;*;>50K
49;*;*;*;*;*;*;*;*;>50K
50;*;*;*;*;*;*;*;*;<=50K
51;*;*;*;*;*;*;*;*;>50K
52;*;*;*;*;*;*;*;*;<=50K
53;*;*;*;*;*;*;*;*;<=50K
